sample	days	pseudomonas_hist	predation	replicate	summary_cat
04AYA	4	ancestral	yes	a	ANC_COEVO
04AYB	4	ancestral	yes	b	ANC_COEVO
04AYC	4	ancestral	yes	c	ANC_COEVO
04ANA	4	ancestral	no	a	ANC_NONE
04ANB	4	ancestral	no	b	ANC_NONE
04ANC	4	ancestral	no	c	ANC_NONE
04CYA	4	coevolved	yes	a	COEVO_COEVO
04CYB	4	coevolved	yes	b	COEVO_COEVO
04CYC	4	coevolved	yes	c	COEVO_COEVO
04CNA	4	coevolved	no	a	COEVO_NONE
04CNB	4	coevolved	no	b	COEVO_NONE
04CNC	4	coevolved	no	c	COEVO_NONE
41AYA	41	ancestral	yes	a	ANC_COEVO
41AYB	41	ancestral	yes	b	ANC_COEVO
41AYC	41	ancestral	yes	c	ANC_COEVO
41ANA	41	ancestral	no	a	ANC_NONE
41ANB	41	ancestral	no	b	ANC_NONE
41ANC	41	ancestral	no	c	ANC_NONE
41CYA	41	coevolved	yes	a	COEVO_COEVO
41CYB	41	coevolved	yes	b	COEVO_COEVO
41CYC	41	coevolved	yes	c	COEVO_COEVO
41CNA	41	coevolved	no	a	COEVO_NONE
41CNB	41	coevolved	no	b	COEVO_NONE
41CNC	41	coevolved	no	c	COEVO_NONE
45AYA	45	ancestral	yes	a	ANC_COEVO
45AYB	45	ancestral	yes	b	ANC_COEVO
45AYC	45	ancestral	yes	c	ANC_COEVO
45ANA	45	ancestral	no	a	ANC_NONE
45ANB	45	ancestral	no	b	ANC_NONE
45ANC	45	ancestral	no	c	ANC_NONE
45CYA	45	coevolved	yes	a	COEVO_COEVO
45CYB	45	coevolved	yes	b	COEVO_COEVO
45CYC	45	coevolved	yes	c	COEVO_COEVO
45CNA	45	coevolved	no	a	COEVO_NONE
45CNB	45	coevolved	no	b	COEVO_NONE
45CNC	45	coevolved	no	c	COEVO_NONE
